name,col1,col2,col3,code
Men's Sets,100003070>,200216733,,100003070>200216733
Cross Pants,100003070>,200118008>,200216336,100003070>200118008>200216336
Skinny Pants,100003070>,200118008>,200216332,100003070>200118008>200216332
Flare Pants,100003070>,200118008>,200216331,100003070>200118008>200216331
Wide Leg Pants,100003070>,200118008>,200216326,100003070>200118008>200216326
Harem Pants,100003070>,200118008>,200216321,100003070>200118008>200216321
Cargo Pants,100003070>,200118008>,200216316,100003070>200118008>200216316
Overalls ,100003070>,200118008>,200216311,100003070>200118008>200216311
Leggings ,100003070>,200118008>,200217997,100003070>200118008>200217997
Leather Pants,100003070>,200118008>,200217786,100003070>200118008>200217786
Sweatpants ,100003070>,200118008>,200118009,100003070>200118008>200118009
Casual Pants,100003070>,200118008>,100003085,100003070>200118008>100003085
Tank Tops,100003070>,200000707>,200000717,100003070>200000707>200000717
Polo ,100003070>,200000707>,200010062,100003070>200000707>200010062
T-Shirts ,100003070>,200000707>,100003071,100003070>200000707>100003071
Board Shorts,100003070>,200000709,,100003070>200000709
Vests ,100003070>,200000701>,200000705,100003070>200000701>200000705
Pullovers ,100003070>,200000701>,200000704,100003070>200000701>200000704
Cardigans ,100003070>,200000701>,200000702,100003070>200000701>200000702
Tailor-made Suits,100003070>,200000692>,200217505,100003070>200000692>200217505
Suits ,100003070>,200000692>,200000696,100003070>200000692>200000696
Suit Pants,100003070>,200000692>,200000695,100003070>200000692>200000695
Suit Jackets,100003070>,200000692>,200000694,100003070>200000692>200000694
Blazers ,100003070>,200000692>,200000693,100003070>200000692>200000693
Tuxedo Shirts,100003070>,200000668>,200000671,100003070>200000668>200000671
Dress Shirts,100003070>,200000668>,200000670,100003070>200000668>200000670
Casual Shirts,100003070>,200000668>,200000669,100003070>200000668>200000669
Short Sleeve Shirts,100003070>,200000668>,200212006,100003070>200000668>200212006
Genuine Leather Coats,100003070>,200000662>,200216306,100003070>200000662>200216306
Parkas ,100003070>,200000662>,200118006,100003070>200000662>200118006
Wool & Blends,100003070>,200000662>,200003498,100003070>200000662>200003498
Down Jackets,100003070>,200000662>,200003467,100003070>200000662>200003467
Faux Leather Coats,100003070>,200000662>,200003470,100003070>200000662>200003470
Trench ,100003070>,200000662>,200003478,100003070>200000662>200003478
Jackets ,100003070>,200000662>,200000664,100003070>200000662>200000664
Vests & Waistcoats,100003070>,200000662>,100003083,100003070>200000662>100003083
Jeans ,100003070>,100003086,,100003070>100003086
Casual Shorts,100003070>,100003088,,100003070>100003088
Hoodies & Sweatshirts,100003070>,100003084,,100003070>100003084
